,mass A,
t,x,y
9.473,-8.83E-02,-2.38E-01
9.507,-8.83E-02,-2.39E-01
9.54,-8.83E-02,-2.41E-01
9.573,-8.84E-02,-2.42E-01
9.607,-8.84E-02,-2.42E-01
9.64,-8.84E-02,-2.43E-01
9.674,-8.85E-02,-2.45E-01
9.707,-8.85E-02,-2.46E-01
9.74,-8.85E-02,-2.46E-01
9.774,-8.86E-02,-2.47E-01
9.807,-8.87E-02,-2.48E-01
9.84,-8.87E-02,-2.49E-01
9.874,-8.87E-02,-2.50E-01
9.907,-8.87E-02,-2.51E-01
9.94,-8.86E-02,-2.52E-01
9.974,-8.86E-02,-2.52E-01
10.007,-8.85E-02,-2.53E-01
10.04,-8.84E-02,-2.54E-01
10.074,-8.84E-02,-2.55E-01
10.107,-8.83E-02,-2.55E-01
10.141,-8.81E-02,-2.57E-01
10.174,-8.79E-02,-2.58E-01
10.207,-8.77E-02,-2.59E-01
10.241,-8.75E-02,-2.60E-01
10.274,-8.72E-02,-2.61E-01
10.307,-8.71E-02,-2.62E-01
10.341,-8.68E-02,-2.63E-01
10.374,-8.66E-02,-2.64E-01
10.407,-8.65E-02,-2.65E-01
10.441,-8.62E-02,-2.66E-01
10.474,-8.60E-02,-2.67E-01
10.507,-8.59E-02,-2.68E-01
10.541,-8.54E-02,-2.69E-01
10.574,-8.54E-02,-2.70E-01
10.608,-8.49E-02,-2.71E-01
10.641,-8.46E-02,-2.71E-01
10.674,-8.46E-02,-2.71E-01
10.708,-8.42E-02,-2.72E-01
10.741,-8.40E-02,-2.72E-01
10.774,-8.36E-02,-2.73E-01
10.808,-8.35E-02,-2.74E-01
10.841,-8.29E-02,-2.75E-01
10.874,-8.28E-02,-2.75E-01
10.908,-8.24E-02,-2.76E-01
10.941,-8.22E-02,-2.76E-01
10.974,-8.22E-02,-2.76E-01
11.008,-8.18E-02,-2.78E-01
11.041,-8.16E-02,-2.78E-01
11.075,-8.15E-02,-2.79E-01
11.108,-8.12E-02,-2.80E-01
11.141,-8.10E-02,-2.81E-01
11.175,-8.09E-02,-2.81E-01
11.208,-8.08E-02,-2.82E-01
11.241,-8.05E-02,-2.83E-01
11.275,-8.03E-02,-2.84E-01
11.308,-7.99E-02,-2.85E-01
11.341,-7.97E-02,-2.85E-01
11.375,-7.97E-02,-2.86E-01
11.408,-7.91E-02,-2.87E-01
11.441,-7.89E-02,-2.87E-01
11.475,-7.86E-02,-2.88E-01
11.508,-7.84E-02,-2.88E-01
11.542,-7.78E-02,-2.89E-01
11.575,-7.77E-02,-2.89E-01
11.608,-7.73E-02,-2.90E-01
11.642,-7.72E-02,-2.90E-01
11.675,-7.68E-02,-2.91E-01
11.708,-7.67E-02,-2.91E-01
11.742,-7.64E-02,-2.91E-01
11.775,-7.61E-02,-2.92E-01
11.808,-7.60E-02,-2.92E-01
11.842,-7.60E-02,-2.92E-01
11.875,-7.60E-02,-2.92E-01
11.908,-7.54E-02,-2.93E-01
11.942,-7.54E-02,-2.93E-01
11.975,-7.53E-02,-2.93E-01
12.009,-7.47E-02,-2.94E-01
12.042,-7.46E-02,-2.94E-01
12.075,-7.42E-02,-2.95E-01
12.109,-7.41E-02,-2.95E-01
12.142,-7.36E-02,-2.96E-01
12.175,-7.34E-02,-2.96E-01
12.209,-7.29E-02,-2.96E-01
12.242,-7.22E-02,-2.97E-01
12.275,-7.21E-02,-2.97E-01
12.309,-7.16E-02,-2.98E-01
12.342,-7.16E-02,-2.98E-01
12.375,-7.09E-02,-2.99E-01
12.409,-7.09E-02,-2.99E-01
12.442,-7.10E-02,-3.00E-01
12.476,-7.07E-02,-3.00E-01
12.509,-7.09E-02,-3.00E-01
12.542,-7.10E-02,-3.00E-01
12.576,-7.09E-02,-3.01E-01
12.609,-7.10E-02,-3.01E-01
12.642,-7.08E-02,-3.01E-01
12.676,-7.10E-02,-3.01E-01
12.709,-7.11E-02,-3.01E-01
12.742,-7.11E-02,-3.01E-01
12.776,-7.11E-02,-3.02E-01
12.809,-7.10E-02,-3.01E-01
12.842,-7.10E-02,-3.01E-01
12.876,-7.05E-02,-3.02E-01
12.909,-7.04E-02,-3.02E-01
12.943,-7.03E-02,-3.02E-01
12.976,-6.97E-02,-3.02E-01
13.009,-6.96E-02,-3.02E-01
13.043,-6.95E-02,-3.02E-01
13.076,-6.90E-02,-3.03E-01
13.109,-6.89E-02,-3.03E-01
13.143,-6.89E-02,-3.03E-01
13.176,-6.84E-02,-3.04E-01
13.209,-6.84E-02,-3.04E-01
13.243,-6.84E-02,-3.04E-01
13.276,-6.84E-02,-3.04E-01
13.309,-6.84E-02,-3.04E-01
13.343,-6.84E-02,-3.04E-01
13.376,-6.84E-02,-3.04E-01
13.41,-6.84E-02,-3.04E-01
13.443,-6.85E-02,-3.04E-01
13.476,-6.85E-02,-3.04E-01
13.51,-6.85E-02,-3.04E-01
13.543,-6.85E-02,-3.04E-01
13.576,-6.85E-02,-3.04E-01
13.61,-6.85E-02,-3.04E-01
13.643,-6.85E-02,-3.04E-01
13.676,-6.85E-02,-3.04E-01
13.71,-6.89E-02,-3.03E-01
13.743,-6.90E-02,-3.03E-01
13.776,-6.91E-02,-3.03E-01
13.81,-6.91E-02,-3.03E-01
13.843,-6.92E-02,-3.03E-01
13.877,-6.93E-02,-3.03E-01
13.91,-6.93E-02,-3.03E-01
13.943,-6.94E-02,-3.03E-01
13.977,-6.97E-02,-3.03E-01
14.01,-6.98E-02,-3.03E-01
14.043,-6.96E-02,-3.03E-01
14.077,-6.97E-02,-3.04E-01
14.11,-6.98E-02,-3.04E-01
14.143,-6.98E-02,-3.04E-01
14.177,-6.98E-02,-3.04E-01
14.21,-6.98E-02,-3.04E-01
14.243,-6.97E-02,-3.04E-01
14.277,-6.97E-02,-3.04E-01
14.31,-7.04E-02,-3.03E-01
14.344,-7.03E-02,-3.03E-01
14.377,-7.01E-02,-3.02E-01
14.41,-7.04E-02,-3.02E-01
14.444,-7.03E-02,-3.02E-01
14.477,-7.03E-02,-3.02E-01
