,mass A,
t,x,y
273.695,-7.61E-02,-1.94E-01
273.729,-7.58E-02,-1.94E-01
273.762,-7.56E-02,-1.93E-01
273.795,-7.54E-02,-1.93E-01
273.829,-7.54E-02,-1.93E-01
273.862,-7.51E-02,-1.92E-01
273.895,-7.48E-02,-1.92E-01
273.929,-7.47E-02,-1.91E-01
273.962,-7.44E-02,-1.91E-01
273.995,-7.42E-02,-1.91E-01
274.029,-7.39E-02,-1.90E-01
274.062,-7.36E-02,-1.90E-01
274.096,-7.36E-02,-1.90E-01
274.129,-7.32E-02,-1.89E-01
274.162,-7.31E-02,-1.89E-01
274.196,-7.27E-02,-1.89E-01
274.229,-7.24E-02,-1.88E-01
274.262,-7.23E-02,-1.88E-01
274.296,-7.19E-02,-1.87E-01
274.329,-7.19E-02,-1.87E-01
274.362,-7.17E-02,-1.87E-01
274.396,-7.14E-02,-1.86E-01
274.429,-7.10E-02,-1.86E-01
274.462,-7.09E-02,-1.86E-01
274.496,-7.06E-02,-1.85E-01
274.529,-7.05E-02,-1.85E-01
274.563,-7.04E-02,-1.85E-01
274.596,-7.00E-02,-1.85E-01
274.629,-6.99E-02,-1.84E-01
274.663,-6.94E-02,-1.84E-01
274.696,-6.93E-02,-1.84E-01
274.729,-6.92E-02,-1.84E-01
274.763,-6.88E-02,-1.83E-01
274.796,-6.86E-02,-1.83E-01
274.829,-6.82E-02,-1.83E-01
274.863,-6.81E-02,-1.83E-01
274.896,-6.79E-02,-1.83E-01
274.929,-6.75E-02,-1.82E-01
274.963,-6.73E-02,-1.82E-01
274.996,-6.69E-02,-1.81E-01
275.03,-6.68E-02,-1.81E-01
275.063,-6.67E-02,-1.81E-01
275.096,-6.62E-02,-1.81E-01
275.13,-6.61E-02,-1.81E-01
275.163,-6.57E-02,-1.80E-01
275.196,-6.55E-02,-1.80E-01
275.23,-6.55E-02,-1.80E-01
275.263,-6.50E-02,-1.80E-01
275.296,-6.49E-02,-1.79E-01
275.33,-6.48E-02,-1.79E-01
275.363,-6.44E-02,-1.79E-01
275.396,-6.43E-02,-1.79E-01
275.43,-6.42E-02,-1.79E-01
275.463,-6.38E-02,-1.78E-01
275.497,-6.37E-02,-1.78E-01
275.53,-6.36E-02,-1.78E-01
275.563,-6.36E-02,-1.78E-01
275.597,-6.31E-02,-1.78E-01
275.63,-6.30E-02,-1.78E-01
275.663,-6.30E-02,-1.77E-01
275.697,-6.25E-02,-1.77E-01
275.73,-6.24E-02,-1.77E-01
275.763,-6.23E-02,-1.77E-01
275.797,-6.19E-02,-1.76E-01
275.83,-6.17E-02,-1.76E-01
275.863,-6.17E-02,-1.76E-01
275.897,-6.12E-02,-1.76E-01
275.93,-6.10E-02,-1.76E-01
275.964,-6.10E-02,-1.76E-01
275.997,-6.09E-02,-1.76E-01
276.03,-6.05E-02,-1.75E-01
276.064,-6.04E-02,-1.75E-01
276.097,-6.03E-02,-1.75E-01
276.13,-6.03E-02,-1.75E-01
276.164,-5.98E-02,-1.75E-01
276.197,-5.97E-02,-1.75E-01
276.23,-5.97E-02,-1.75E-01
276.264,-5.96E-02,-1.75E-01
276.297,-5.96E-02,-1.74E-01
276.33,-5.92E-02,-1.74E-01
276.364,-5.91E-02,-1.74E-01
276.397,-5.91E-02,-1.74E-01
276.431,-5.91E-02,-1.74E-01
276.464,-5.91E-02,-1.74E-01
276.497,-5.91E-02,-1.74E-01
276.531,-5.86E-02,-1.73E-01
276.564,-5.86E-02,-1.73E-01
276.597,-5.86E-02,-1.73E-01
276.631,-5.85E-02,-1.73E-01
276.664,-5.85E-02,-1.73E-01
276.697,-5.85E-02,-1.73E-01
276.731,-5.81E-02,-1.73E-01
276.764,-5.80E-02,-1.73E-01
276.797,-5.79E-02,-1.73E-01
276.831,-5.79E-02,-1.73E-01
276.864,-5.78E-02,-1.73E-01
276.898,-5.78E-02,-1.73E-01
276.931,-5.74E-02,-1.72E-01
276.964,-5.73E-02,-1.72E-01
276.998,-5.73E-02,-1.72E-01
277.031,-5.73E-02,-1.72E-01
277.064,-5.73E-02,-1.72E-01
277.098,-5.73E-02,-1.72E-01
277.131,-5.72E-02,-1.72E-01
277.164,-5.72E-02,-1.72E-01
277.198,-5.72E-02,-1.72E-01
277.231,-5.72E-02,-1.72E-01
277.264,-5.72E-02,-1.72E-01
277.298,-5.72E-02,-1.72E-01
277.331,-5.72E-02,-1.72E-01
277.365,-5.72E-02,-1.72E-01
277.398,-5.72E-02,-1.72E-01
277.431,-5.71E-02,-1.72E-01
277.465,-5.72E-02,-1.72E-01
277.498,-5.72E-02,-1.72E-01
277.531,-5.72E-02,-1.72E-01
277.565,-5.72E-02,-1.72E-01
277.598,-5.72E-02,-1.72E-01
277.631,-5.72E-02,-1.72E-01
277.665,-5.72E-02,-1.72E-01
277.698,-5.72E-02,-1.72E-01
277.731,-5.72E-02,-1.72E-01
277.765,-5.72E-02,-1.72E-01
277.798,-5.72E-02,-1.72E-01
277.832,-5.72E-02,-1.72E-01
277.865,-5.73E-02,-1.72E-01
277.898,-5.73E-02,-1.72E-01
277.932,-5.73E-02,-1.72E-01
277.965,-5.73E-02,-1.72E-01
277.998,-5.73E-02,-1.72E-01
278.032,-5.73E-02,-1.72E-01
278.065,-5.73E-02,-1.72E-01
278.098,-5.73E-02,-1.72E-01
278.132,-5.74E-02,-1.72E-01
278.165,-5.74E-02,-1.72E-01
278.198,-5.74E-02,-1.72E-01
278.232,-5.74E-02,-1.72E-01
278.265,-5.74E-02,-1.72E-01
278.299,-5.74E-02,-1.72E-01
278.332,-5.74E-02,-1.72E-01
278.365,-5.74E-02,-1.72E-01
278.399,-5.74E-02,-1.72E-01
278.432,-5.74E-02,-1.72E-01
278.465,-5.74E-02,-1.72E-01
278.499,-5.74E-02,-1.72E-01
278.532,-5.74E-02,-1.72E-01
278.565,-5.74E-02,-1.72E-01
278.599,-5.73E-02,-1.72E-01
278.632,-5.74E-02,-1.72E-01
278.665,-5.73E-02,-1.72E-01
278.699,-5.73E-02,-1.72E-01
278.732,-5.74E-02,-1.72E-01
278.766,-5.73E-02,-1.72E-01
278.799,-5.74E-02,-1.72E-01
278.832,-5.74E-02,-1.72E-01
278.866,-5.74E-02,-1.72E-01
278.899,-5.74E-02,-1.72E-01
278.932,-5.78E-02,-1.73E-01
278.966,-5.79E-02,-1.73E-01
278.999,-5.79E-02,-1.73E-01
279.032,-5.79E-02,-1.73E-01
279.066,-5.80E-02,-1.73E-01
279.099,-5.81E-02,-1.73E-01
279.132,-5.85E-02,-1.73E-01
279.166,-5.85E-02,-1.73E-01
279.199,-5.86E-02,-1.73E-01
279.233,-5.86E-02,-1.73E-01
279.266,-5.87E-02,-1.73E-01
279.299,-5.91E-02,-1.74E-01
279.333,-5.92E-02,-1.74E-01
279.366,-5.92E-02,-1.74E-01
279.399,-5.93E-02,-1.74E-01
279.433,-5.93E-02,-1.74E-01
279.466,-5.97E-02,-1.74E-01
279.499,-5.98E-02,-1.74E-01
279.533,-5.98E-02,-1.75E-01
279.566,-5.99E-02,-1.75E-01
279.599,-5.99E-02,-1.75E-01
279.633,-6.00E-02,-1.75E-01
279.666,-6.03E-02,-1.75E-01
279.7,-6.04E-02,-1.75E-01
279.733,-6.04E-02,-1.75E-01
279.766,-6.05E-02,-1.75E-01
279.8,-6.09E-02,-1.76E-01
279.833,-6.10E-02,-1.76E-01
279.866,-6.11E-02,-1.76E-01
279.9,-6.11E-02,-1.76E-01
279.933,-6.15E-02,-1.76E-01
279.966,-6.16E-02,-1.77E-01
280,-6.17E-02,-1.77E-01
280.033,-6.21E-02,-1.77E-01
280.066,-6.22E-02,-1.77E-01
280.1,-6.23E-02,-1.77E-01
280.133,-6.27E-02,-1.78E-01
280.167,-6.28E-02,-1.78E-01
280.2,-6.29E-02,-1.78E-01
280.233,-6.34E-02,-1.78E-01
280.267,-6.34E-02,-1.78E-01
280.3,-6.35E-02,-1.79E-01
280.333,-6.40E-02,-1.79E-01
280.367,-6.41E-02,-1.79E-01
280.4,-6.42E-02,-1.79E-01
280.433,-6.46E-02,-1.80E-01
280.467,-6.47E-02,-1.80E-01
280.5,-6.48E-02,-1.80E-01
280.533,-6.52E-02,-1.80E-01
280.567,-6.54E-02,-1.80E-01
280.6,-6.55E-02,-1.80E-01
280.634,-6.59E-02,-1.81E-01
280.667,-6.60E-02,-1.81E-01
280.7,-6.61E-02,-1.81E-01
280.734,-6.65E-02,-1.81E-01
280.767,-6.67E-02,-1.82E-01
280.8,-6.67E-02,-1.82E-01
280.834,-6.71E-02,-1.82E-01
280.867,-6.73E-02,-1.82E-01
280.9,-6.76E-02,-1.83E-01
280.934,-6.78E-02,-1.83E-01
280.967,-6.82E-02,-1.83E-01
281,-6.82E-02,-1.83E-01
281.034,-6.84E-02,-1.84E-01
281.067,-6.86E-02,-1.84E-01
281.101,-6.89E-02,-1.85E-01
281.134,-6.91E-02,-1.85E-01
281.167,-6.94E-02,-1.85E-01
281.201,-6.95E-02,-1.85E-01
281.234,-6.97E-02,-1.86E-01
281.267,-6.98E-02,-1.86E-01
281.301,-7.02E-02,-1.86E-01
281.334,-7.03E-02,-1.87E-01
281.367,-7.07E-02,-1.87E-01
281.401,-7.07E-02,-1.87E-01
281.434,-7.10E-02,-1.88E-01
281.467,-7.11E-02,-1.88E-01
281.501,-7.12E-02,-1.88E-01
281.534,-7.15E-02,-1.88E-01
281.568,-7.16E-02,-1.89E-01
281.601,-7.20E-02,-1.89E-01
281.634,-7.22E-02,-1.89E-01
281.668,-7.23E-02,-1.90E-01
281.701,-7.24E-02,-1.90E-01
281.734,-7.27E-02,-1.90E-01
281.768,-7.29E-02,-1.90E-01
281.801,-7.33E-02,-1.91E-01
281.834,-7.35E-02,-1.91E-01
281.868,-7.36E-02,-1.92E-01
281.901,-7.40E-02,-1.92E-01
281.934,-7.42E-02,-1.92E-01
281.968,-7.45E-02,-1.93E-01
282.001,-7.47E-02,-1.93E-01
282.035,-7.49E-02,-1.93E-01
282.068,-7.52E-02,-1.94E-01
282.101,-7.54E-02,-1.94E-01
282.135,-7.57E-02,-1.94E-01
282.168,-7.59E-02,-1.95E-01
282.201,-7.61E-02,-1.95E-01
282.235,-7.63E-02,-1.96E-01
282.268,-7.66E-02,-1.96E-01
282.301,-7.67E-02,-1.97E-01
282.335,-7.69E-02,-1.97E-01
282.368,-7.70E-02,-1.97E-01
282.401,-7.72E-02,-1.98E-01
282.435,-7.73E-02,-1.98E-01
282.468,-7.75E-02,-1.98E-01
282.502,-7.78E-02,-1.99E-01
282.535,-7.79E-02,-1.99E-01
282.568,-7.82E-02,-1.99E-01
282.602,-7.82E-02,-2.00E-01
282.635,-7.84E-02,-2.00E-01
282.668,-7.87E-02,-2.01E-01
282.702,-7.89E-02,-2.01E-01
282.735,-7.91E-02,-2.02E-01
282.768,-7.93E-02,-2.02E-01
282.802,-7.94E-02,-2.02E-01
282.835,-7.96E-02,-2.03E-01
282.868,-7.99E-02,-2.03E-01
282.902,-8.00E-02,-2.03E-01
282.935,-8.02E-02,-2.04E-01
282.969,-8.06E-02,-2.04E-01
283.002,-8.06E-02,-2.05E-01
283.035,-8.09E-02,-2.05E-01
283.069,-8.10E-02,-2.06E-01
283.102,-8.13E-02,-2.06E-01
283.135,-8.13E-02,-2.06E-01
283.169,-8.15E-02,-2.07E-01
283.202,-8.18E-02,-2.07E-01
283.235,-8.19E-02,-2.07E-01
283.269,-8.21E-02,-2.08E-01
283.302,-8.22E-02,-2.08E-01
283.335,-8.24E-02,-2.08E-01
283.369,-8.26E-02,-2.09E-01
283.402,-8.26E-02,-2.09E-01
283.436,-8.28E-02,-2.10E-01
283.469,-8.30E-02,-2.10E-01
283.502,-8.31E-02,-2.10E-01
283.536,-8.32E-02,-2.11E-01
283.569,-8.34E-02,-2.11E-01
283.602,-8.36E-02,-2.11E-01
283.636,-8.37E-02,-2.12E-01
283.669,-8.39E-02,-2.12E-01
283.702,-8.40E-02,-2.13E-01
283.736,-8.42E-02,-2.13E-01
283.769,-8.43E-02,-2.14E-01
283.802,-8.44E-02,-2.14E-01
283.836,-8.45E-02,-2.14E-01
283.869,-8.46E-02,-2.15E-01
283.903,-8.49E-02,-2.15E-01
283.936,-8.49E-02,-2.16E-01
283.969,-8.50E-02,-2.16E-01
284.003,-8.51E-02,-2.16E-01
284.036,-8.52E-02,-2.17E-01
284.069,-8.54E-02,-2.17E-01
284.103,-8.54E-02,-2.17E-01
284.136,-8.56E-02,-2.18E-01
284.169,-8.56E-02,-2.18E-01
284.203,-8.58E-02,-2.18E-01
284.236,-8.60E-02,-2.19E-01
284.269,-8.61E-02,-2.19E-01
284.303,-8.62E-02,-2.20E-01
284.336,-8.63E-02,-2.20E-01
284.37,-8.64E-02,-2.20E-01
284.403,-8.66E-02,-2.21E-01
284.436,-8.67E-02,-2.21E-01
284.47,-8.68E-02,-2.22E-01
284.503,-8.68E-02,-2.22E-01
284.536,-8.70E-02,-2.22E-01
284.57,-8.72E-02,-2.23E-01
284.603,-8.73E-02,-2.23E-01
284.636,-8.74E-02,-2.23E-01
284.67,-8.74E-02,-2.24E-01
284.703,-8.75E-02,-2.24E-01
284.736,-8.76E-02,-2.24E-01
284.77,-8.76E-02,-2.25E-01
284.803,-8.77E-02,-2.25E-01
284.837,-8.78E-02,-2.26E-01
284.87,-8.79E-02,-2.26E-01
284.903,-8.80E-02,-2.27E-01
284.937,-8.80E-02,-2.27E-01
284.97,-8.81E-02,-2.27E-01
285.003,-8.81E-02,-2.28E-01
285.037,-8.82E-02,-2.28E-01
285.07,-8.82E-02,-2.28E-01
285.103,-8.82E-02,-2.28E-01
285.137,-8.83E-02,-2.29E-01
285.17,-8.82E-02,-2.29E-01
285.203,-8.82E-02,-2.30E-01
285.237,-8.83E-02,-2.30E-01
285.27,-8.83E-02,-2.30E-01
285.304,-8.82E-02,-2.31E-01
285.337,-8.83E-02,-2.31E-01
285.37,-8.84E-02,-2.31E-01
285.404,-8.85E-02,-2.32E-01
285.437,-8.87E-02,-2.32E-01
285.47,-8.87E-02,-2.32E-01
285.504,-8.88E-02,-2.33E-01
285.537,-8.88E-02,-2.33E-01
285.57,-8.88E-02,-2.33E-01
285.604,-8.88E-02,-2.34E-01
285.637,-8.88E-02,-2.34E-01
285.67,-8.89E-02,-2.34E-01
285.704,-8.89E-02,-2.35E-01
285.737,-8.89E-02,-2.35E-01
285.771,-8.90E-02,-2.35E-01
285.804,-8.90E-02,-2.36E-01
285.837,-8.92E-02,-2.36E-01
285.871,-8.93E-02,-2.36E-01
285.904,-8.93E-02,-2.37E-01
285.937,-8.94E-02,-2.37E-01
285.971,-8.94E-02,-2.37E-01
286.004,-8.94E-02,-2.38E-01
286.037,-8.94E-02,-2.38E-01
286.071,-8.94E-02,-2.38E-01
286.104,-8.94E-02,-2.38E-01
286.137,-8.94E-02,-2.39E-01
286.171,-8.94E-02,-2.39E-01
286.204,-8.94E-02,-2.39E-01
286.238,-8.94E-02,-2.39E-01
286.271,-8.94E-02,-2.40E-01
286.304,-8.94E-02,-2.40E-01
286.338,-8.94E-02,-2.40E-01
286.371,-8.94E-02,-2.40E-01
286.404,-8.94E-02,-2.41E-01
286.438,-8.94E-02,-2.41E-01
286.471,-8.94E-02,-2.41E-01
286.504,-8.94E-02,-2.41E-01
286.538,-8.94E-02,-2.42E-01
286.571,-8.94E-02,-2.42E-01
286.604,-8.94E-02,-2.42E-01
286.638,-8.94E-02,-2.42E-01
286.671,-8.94E-02,-2.43E-01
286.705,-8.94E-02,-2.43E-01
286.738,-8.94E-02,-2.43E-01
286.771,-8.94E-02,-2.43E-01
286.805,-8.94E-02,-2.43E-01
286.838,-8.94E-02,-2.44E-01
286.871,-8.94E-02,-2.44E-01
286.905,-8.94E-02,-2.44E-01
286.938,-8.94E-02,-2.44E-01
286.971,-8.95E-02,-2.44E-01
287.005,-8.94E-02,-2.44E-01
287.038,-8.94E-02,-2.45E-01
287.071,-8.95E-02,-2.45E-01
287.105,-8.95E-02,-2.45E-01
287.138,-8.95E-02,-2.45E-01
287.172,-8.95E-02,-2.45E-01
287.205,-8.95E-02,-2.45E-01
287.238,-8.95E-02,-2.45E-01
287.272,-8.95E-02,-2.45E-01
287.305,-8.95E-02,-2.46E-01
287.338,-8.94E-02,-2.46E-01
287.372,-8.94E-02,-2.46E-01
287.405,-8.94E-02,-2.46E-01
287.438,-8.94E-02,-2.46E-01
287.472,-8.94E-02,-2.46E-01
287.505,-8.94E-02,-2.46E-01
287.538,-8.94E-02,-2.47E-01
287.572,-8.94E-02,-2.47E-01
287.605,-8.94E-02,-2.47E-01
287.639,-8.94E-02,-2.47E-01
287.672,-8.94E-02,-2.47E-01
287.705,-8.94E-02,-2.47E-01
287.739,-8.94E-02,-2.47E-01
287.772,-8.94E-02,-2.47E-01
287.805,-8.94E-02,-2.48E-01
287.839,-8.94E-02,-2.48E-01
287.872,-8.94E-02,-2.48E-01
287.905,-8.94E-02,-2.48E-01
287.939,-8.94E-02,-2.48E-01
287.972,-8.94E-02,-2.48E-01
288.005,-8.94E-02,-2.48E-01
288.039,-8.94E-02,-2.48E-01
288.072,-8.94E-02,-2.48E-01
288.106,-8.94E-02,-2.48E-01
288.139,-8.94E-02,-2.48E-01
288.172,-8.94E-02,-2.48E-01
288.206,-8.94E-02,-2.48E-01
288.239,-8.94E-02,-2.48E-01
288.272,-8.94E-02,-2.48E-01
288.306,-8.95E-02,-2.48E-01
288.339,-8.94E-02,-2.48E-01
288.372,-8.95E-02,-2.48E-01
288.406,-8.95E-02,-2.48E-01
288.439,-8.95E-02,-2.48E-01
288.472,-8.94E-02,-2.48E-01
288.506,-8.95E-02,-2.48E-01
288.539,-8.95E-02,-2.48E-01
288.573,-8.95E-02,-2.48E-01
288.606,-8.94E-02,-2.48E-01
288.639,-8.94E-02,-2.48E-01
288.673,-8.94E-02,-2.48E-01
288.706,-8.94E-02,-2.48E-01
288.739,-8.94E-02,-2.48E-01
288.773,-8.94E-02,-2.48E-01
288.806,-8.94E-02,-2.48E-01
288.839,-8.94E-02,-2.48E-01
288.873,-8.94E-02,-2.48E-01
288.906,-8.94E-02,-2.48E-01
288.939,-8.94E-02,-2.48E-01
288.973,-8.94E-02,-2.48E-01
289.006,-8.94E-02,-2.47E-01
289.04,-8.94E-02,-2.47E-01
289.073,-8.94E-02,-2.47E-01
289.106,-8.94E-02,-2.47E-01
289.14,-8.94E-02,-2.47E-01
289.173,-8.94E-02,-2.47E-01
289.206,-8.94E-02,-2.47E-01
289.24,-8.94E-02,-2.47E-01
289.273,-8.94E-02,-2.47E-01
289.306,-8.94E-02,-2.47E-01
289.34,-8.94E-02,-2.46E-01
289.373,-8.94E-02,-2.46E-01
289.406,-8.94E-02,-2.46E-01
289.44,-8.94E-02,-2.46E-01
289.473,-8.95E-02,-2.46E-01
289.507,-8.95E-02,-2.46E-01
289.54,-8.95E-02,-2.46E-01
289.573,-8.95E-02,-2.46E-01
289.607,-8.95E-02,-2.45E-01
289.64,-8.95E-02,-2.45E-01
289.673,-8.94E-02,-2.45E-01
289.707,-8.94E-02,-2.45E-01
289.74,-8.94E-02,-2.45E-01
289.773,-8.94E-02,-2.44E-01
289.807,-8.95E-02,-2.44E-01
289.84,-8.95E-02,-2.44E-01
289.873,-8.94E-02,-2.44E-01
289.907,-8.94E-02,-2.44E-01
289.94,-8.94E-02,-2.43E-01
289.974,-8.94E-02,-2.43E-01
290.007,-8.94E-02,-2.43E-01
290.04,-8.94E-02,-2.43E-01
290.074,-8.94E-02,-2.43E-01
290.107,-8.94E-02,-2.42E-01
290.14,-8.93E-02,-2.42E-01
290.174,-8.93E-02,-2.42E-01
290.207,-8.93E-02,-2.42E-01
290.24,-8.93E-02,-2.41E-01
290.274,-8.93E-02,-2.41E-01
290.307,-8.93E-02,-2.41E-01
290.34,-8.94E-02,-2.41E-01
290.374,-8.93E-02,-2.41E-01
290.407,-8.93E-02,-2.40E-01
290.441,-8.93E-02,-2.40E-01
290.474,-8.93E-02,-2.40E-01
290.507,-8.94E-02,-2.40E-01
290.541,-8.93E-02,-2.39E-01
290.574,-8.93E-02,-2.39E-01
290.607,-8.93E-02,-2.39E-01
290.641,-8.93E-02,-2.38E-01
290.674,-8.93E-02,-2.38E-01
290.707,-8.94E-02,-2.38E-01
290.741,-8.93E-02,-2.38E-01
290.774,-8.93E-02,-2.37E-01
290.807,-8.93E-02,-2.37E-01
290.841,-8.94E-02,-2.37E-01
290.874,-8.93E-02,-2.36E-01
290.908,-8.93E-02,-2.36E-01
290.941,-8.93E-02,-2.36E-01
290.974,-8.93E-02,-2.35E-01
291.008,-8.93E-02,-2.35E-01
291.041,-8.93E-02,-2.35E-01
291.074,-8.93E-02,-2.34E-01
291.108,-8.93E-02,-2.34E-01
291.141,-8.92E-02,-2.34E-01
291.174,-8.92E-02,-2.33E-01
291.208,-8.92E-02,-2.33E-01
291.241,-8.92E-02,-2.33E-01
291.274,-8.92E-02,-2.32E-01
291.308,-8.92E-02,-2.32E-01
291.341,-8.91E-02,-2.32E-01
291.375,-8.92E-02,-2.32E-01
291.408,-8.91E-02,-2.31E-01
291.441,-8.91E-02,-2.31E-01
291.475,-8.91E-02,-2.31E-01
291.508,-8.91E-02,-2.30E-01
291.541,-8.90E-02,-2.30E-01
291.575,-8.91E-02,-2.30E-01
291.608,-8.90E-02,-2.29E-01
291.641,-8.91E-02,-2.29E-01
291.675,-8.90E-02,-2.29E-01
291.708,-8.89E-02,-2.28E-01
291.741,-8.87E-02,-2.28E-01
291.775,-8.87E-02,-2.27E-01
291.808,-8.86E-02,-2.27E-01
291.842,-8.86E-02,-2.26E-01
291.875,-8.85E-02,-2.26E-01
291.908,-8.86E-02,-2.26E-01
291.942,-8.84E-02,-2.26E-01
291.975,-8.85E-02,-2.25E-01
292.008,-8.84E-02,-2.25E-01
292.042,-8.85E-02,-2.25E-01
292.075,-8.84E-02,-2.24E-01
292.108,-8.83E-02,-2.23E-01
292.142,-8.81E-02,-2.23E-01
292.175,-8.81E-02,-2.23E-01
292.208,-8.79E-02,-2.22E-01
292.242,-8.80E-02,-2.22E-01
292.275,-8.79E-02,-2.22E-01
292.309,-8.79E-02,-2.22E-01
292.342,-8.78E-02,-2.21E-01
292.375,-8.78E-02,-2.21E-01
292.409,-8.75E-02,-2.20E-01
292.442,-8.75E-02,-2.20E-01
292.475,-8.73E-02,-2.19E-01
292.509,-8.73E-02,-2.19E-01
292.542,-8.73E-02,-2.19E-01
292.575,-8.70E-02,-2.18E-01
292.609,-8.69E-02,-2.18E-01
292.642,-8.67E-02,-2.17E-01
292.675,-8.67E-02,-2.17E-01
292.709,-8.65E-02,-2.17E-01
292.742,-8.64E-02,-2.16E-01
292.776,-8.61E-02,-2.16E-01
292.809,-8.61E-02,-2.15E-01
292.842,-8.61E-02,-2.15E-01
292.876,-8.57E-02,-2.14E-01
292.909,-8.56E-02,-2.14E-01
292.942,-8.54E-02,-2.14E-01
292.976,-8.54E-02,-2.13E-01
293.009,-8.52E-02,-2.13E-01
293.042,-8.49E-02,-2.12E-01
293.076,-8.48E-02,-2.12E-01
293.109,-8.47E-02,-2.12E-01
293.142,-8.47E-02,-2.11E-01
293.176,-8.45E-02,-2.11E-01
293.209,-8.43E-02,-2.11E-01
293.243,-8.42E-02,-2.10E-01
293.276,-8.40E-02,-2.10E-01
293.309,-8.40E-02,-2.10E-01
293.343,-8.39E-02,-2.09E-01
293.376,-8.36E-02,-2.09E-01
293.409,-8.35E-02,-2.08E-01
293.443,-8.34E-02,-2.08E-01
293.476,-8.32E-02,-2.07E-01
293.509,-8.30E-02,-2.07E-01
293.543,-8.29E-02,-2.06E-01
293.576,-8.27E-02,-2.06E-01
293.609,-8.25E-02,-2.06E-01
293.643,-8.24E-02,-2.05E-01
293.676,-8.22E-02,-2.05E-01
293.71,-8.22E-02,-2.05E-01
293.743,-8.19E-02,-2.04E-01
293.776,-8.16E-02,-2.04E-01
293.81,-8.15E-02,-2.03E-01
293.843,-8.14E-02,-2.03E-01
293.876,-8.11E-02,-2.02E-01
293.91,-8.09E-02,-2.02E-01
293.943,-8.08E-02,-2.01E-01
293.976,-8.06E-02,-2.01E-01
294.01,-8.03E-02,-2.01E-01
294.043,-8.03E-02,-2.01E-01
294.076,-8.00E-02,-2.00E-01
294.11,-7.99E-02,-2.00E-01
294.143,-7.96E-02,-2.00E-01
294.177,-7.94E-02,-1.99E-01
294.21,-7.93E-02,-1.99E-01
294.243,-7.90E-02,-1.99E-01
294.277,-7.87E-02,-1.98E-01
294.31,-7.86E-02,-1.98E-01
294.343,-7.85E-02,-1.98E-01
294.377,-7.83E-02,-1.97E-01
294.41,-7.79E-02,-1.97E-01
294.443,-7.79E-02,-1.96E-01
294.477,-7.76E-02,-1.96E-01
294.51,-7.74E-02,-1.96E-01
294.543,-7.72E-02,-1.95E-01
294.577,-7.69E-02,-1.95E-01
294.61,-7.68E-02,-1.94E-01
294.644,-7.65E-02,-1.94E-01
294.677,-7.65E-02,-1.94E-01
294.71,-7.62E-02,-1.93E-01
294.744,-7.61E-02,-1.93E-01
294.777,-7.58E-02,-1.93E-01
294.81,-7.56E-02,-1.92E-01
294.844,-7.55E-02,-1.92E-01
294.877,-7.54E-02,-1.92E-01
294.91,-7.51E-02,-1.91E-01
294.944,-7.49E-02,-1.91E-01
294.977,-7.46E-02,-1.91E-01
295.01,-7.46E-02,-1.91E-01
295.044,-7.43E-02,-1.90E-01
295.077,-7.42E-02,-1.90E-01
295.111,-7.38E-02,-1.90E-01
295.144,-7.37E-02,-1.89E-01
295.177,-7.36E-02,-1.89E-01
295.211,-7.32E-02,-1.89E-01
295.244,-7.31E-02,-1.89E-01
295.277,-7.27E-02,-1.89E-01
295.311,-7.24E-02,-1.88E-01
295.344,-7.23E-02,-1.88E-01
295.377,-7.19E-02,-1.87E-01
295.411,-7.18E-02,-1.87E-01
295.444,-7.17E-02,-1.87E-01
295.477,-7.13E-02,-1.86E-01
295.511,-7.11E-02,-1.86E-01
295.544,-7.08E-02,-1.86E-01
295.578,-7.06E-02,-1.86E-01
295.611,-7.02E-02,-1.86E-01
295.644,-6.99E-02,-1.85E-01
295.678,-6.98E-02,-1.85E-01
295.711,-6.98E-02,-1.85E-01
295.744,-6.94E-02,-1.84E-01
295.778,-6.93E-02,-1.84E-01
295.811,-6.92E-02,-1.84E-01
295.844,-6.88E-02,-1.83E-01
295.878,-6.87E-02,-1.83E-01
295.911,-6.86E-02,-1.83E-01
295.944,-6.82E-02,-1.83E-01
295.978,-6.81E-02,-1.82E-01
296.011,-6.80E-02,-1.82E-01
296.045,-6.76E-02,-1.82E-01
296.078,-6.74E-02,-1.82E-01
296.111,-6.74E-02,-1.82E-01
296.145,-6.69E-02,-1.81E-01
296.178,-6.68E-02,-1.81E-01
296.211,-6.67E-02,-1.81E-01
296.245,-6.63E-02,-1.81E-01
296.278,-6.62E-02,-1.81E-01
296.311,-6.61E-02,-1.81E-01
296.345,-6.56E-02,-1.80E-01
296.378,-6.55E-02,-1.80E-01
296.411,-6.54E-02,-1.80E-01
296.445,-6.50E-02,-1.80E-01
296.478,-6.48E-02,-1.79E-01
296.512,-6.48E-02,-1.79E-01
296.545,-6.43E-02,-1.79E-01
296.578,-6.42E-02,-1.79E-01
296.612,-6.42E-02,-1.79E-01
296.645,-6.37E-02,-1.78E-01
296.678,-6.36E-02,-1.78E-01
296.712,-6.35E-02,-1.78E-01
296.745,-6.35E-02,-1.78E-01
296.778,-6.30E-02,-1.78E-01
296.812,-6.29E-02,-1.78E-01
296.845,-6.29E-02,-1.78E-01
296.878,-6.29E-02,-1.78E-01
296.912,-6.24E-02,-1.77E-01
296.945,-6.24E-02,-1.77E-01
296.979,-6.23E-02,-1.77E-01
