,,,
,t,x,y
,1.42E+01,9.55E-02,-0.182
,1.42E+01,9.59E-02,-0.183
,1.43E+01,9.60E-02,-0.183
,1.43E+01,9.61E-02,-0.183
,1.43E+01,9.62E-02,-0.183
,1.44E+01,9.66E-02,-0.183
,1.44E+01,9.67E-02,-0.183
,1.44E+01,9.69E-02,-0.183
,1.45E+01,9.69E-02,-0.183
,1.45E+01,9.70E-02,-0.183
,1.45E+01,9.72E-02,-0.183
,1.46E+01,9.72E-02,-0.183
,1.46E+01,9.73E-02,-0.183
,1.46E+01,9.73E-02,-0.183
,1.47E+01,9.73E-02,-0.184
,1.47E+01,9.75E-02,-0.184
,1.47E+01,9.75E-02,-0.184
,1.48E+01,9.76E-02,-0.185
,1.48E+01,9.79E-02,-0.185
,1.48E+01,9.79E-02,-0.185
,1.49E+01,9.80E-02,-0.185
,1.49E+01,9.84E-02,-0.186
,1.49E+01,9.85E-02,-0.186
,1.50E+01,9.89E-02,-0.187
,1.50E+01,9.92E-02,-0.188
,1.50E+01,9.96E-02,-0.188
,1.51E+01,9.99E-02,-0.189
,1.51E+01,1.00E-01,-0.189
,1.51E+01,1.00E-01,-0.19
,1.52E+01,1.01E-01,-0.19
,1.52E+01,1.01E-01,-0.191
,1.52E+01,1.01E-01,-0.191
,1.53E+01,1.01E-01,-0.191
,1.53E+01,1.01E-01,-0.192
,1.53E+01,1.01E-01,-0.193
,1.54E+01,1.02E-01,-0.193
,1.54E+01,1.02E-01,-0.193
,1.54E+01,1.02E-01,-0.194
,1.55E+01,1.02E-01,-0.194
,1.55E+01,1.02E-01,-0.194
,1.55E+01,1.02E-01,-0.194
,1.56E+01,1.02E-01,-0.195
,1.56E+01,1.02E-01,-0.195
,1.56E+01,1.02E-01,-0.195
,1.57E+01,1.03E-01,-0.196
,1.57E+01,1.03E-01,-0.196
,1.57E+01,1.03E-01,-0.197
,1.58E+01,1.04E-01,-0.197
,1.58E+01,1.04E-01,-0.198
,1.58E+01,1.05E-01,-0.199
,1.59E+01,1.05E-01,-0.199
,1.59E+01,1.05E-01,-0.2
,1.59E+01,1.06E-01,-0.201
,1.60E+01,1.06E-01,-0.201
,1.60E+01,1.07E-01,-0.203
,1.60E+01,1.07E-01,-0.203
,1.61E+01,1.07E-01,-0.204
,1.61E+01,1.07E-01,-0.204
,1.61E+01,1.07E-01,-0.205
,1.62E+01,1.07E-01,-0.206
,1.62E+01,1.07E-01,-0.207
,1.62E+01,1.07E-01,-0.208
,1.63E+01,1.07E-01,-0.208
,1.63E+01,1.07E-01,-0.209
,1.63E+01,1.07E-01,-0.209
,1.64E+01,1.07E-01,-0.21
,1.64E+01,1.08E-01,-0.21
,1.64E+01,1.08E-01,-0.211
,1.65E+01,1.08E-01,-0.212
,1.65E+01,1.08E-01,-0.212
,1.65E+01,1.08E-01,-0.213
,1.66E+01,1.08E-01,-0.213
,1.66E+01,1.08E-01,-0.214
,1.66E+01,1.09E-01,-0.215
,1.67E+01,1.09E-01,-0.215
,1.67E+01,1.09E-01,-0.216
,1.67E+01,1.09E-01,-0.216
,1.68E+01,1.09E-01,-0.218
,1.68E+01,1.09E-01,-0.219
,1.68E+01,1.09E-01,-0.219
,1.69E+01,1.09E-01,-0.22
,1.69E+01,1.10E-01,-0.222
,1.69E+01,1.10E-01,-0.222
,1.70E+01,1.10E-01,-0.223
,1.70E+01,1.10E-01,-0.224
,1.70E+01,1.10E-01,-0.225
,1.71E+01,1.10E-01,-0.226
,1.71E+01,1.11E-01,-0.227
,1.71E+01,1.11E-01,-0.227
,1.72E+01,1.11E-01,-0.228
,1.72E+01,1.11E-01,-0.229
,1.72E+01,1.11E-01,-0.23
,1.73E+01,1.11E-01,-0.23
,1.73E+01,1.11E-01,-0.231
,1.73E+01,1.11E-01,-0.232
,1.74E+01,1.11E-01,-0.233
,1.74E+01,1.11E-01,-0.234
,1.74E+01,1.11E-01,-0.234
,1.75E+01,1.11E-01,-0.235
,1.75E+01,1.11E-01,-0.236
,1.75E+01,1.11E-01,-0.237
,1.76E+01,1.11E-01,-0.237
,1.76E+01,1.11E-01,-0.238
,1.76E+01,1.10E-01,-0.239
,1.77E+01,1.10E-01,-0.24
,1.77E+01,1.10E-01,-0.241
,1.77E+01,1.10E-01,-0.242
,1.78E+01,1.10E-01,-0.243
,1.78E+01,1.10E-01,-0.244
,1.78E+01,1.10E-01,-0.245
,1.79E+01,1.10E-01,-0.246
,1.79E+01,1.10E-01,-0.247
,1.79E+01,1.10E-01,-0.248
,1.80E+01,1.10E-01,-0.249
,1.80E+01,1.10E-01,-0.25
,1.80E+01,1.10E-01,-0.251
,1.81E+01,1.10E-01,-0.252
,1.81E+01,1.10E-01,-0.253
,1.81E+01,1.10E-01,-0.254
,1.82E+01,1.10E-01,-0.254
,1.82E+01,1.10E-01,-0.255
,1.82E+01,1.10E-01,-0.256
,1.83E+01,1.09E-01,-0.257
,1.83E+01,1.09E-01,-0.257
,1.83E+01,1.09E-01,-0.258
,1.84E+01,1.09E-01,-0.259
,1.84E+01,1.09E-01,-0.26
,1.84E+01,1.09E-01,-0.261
,1.85E+01,1.09E-01,-0.261
,1.85E+01,1.08E-01,-0.262
,1.85E+01,1.08E-01,-0.263
,1.86E+01,1.08E-01,-0.264
,1.86E+01,1.08E-01,-0.265
,1.86E+01,1.07E-01,-0.267
,1.87E+01,1.07E-01,-0.268
,1.87E+01,1.07E-01,-0.269
,1.87E+01,1.06E-01,-0.27
,1.88E+01,1.06E-01,-0.271
,1.88E+01,1.06E-01,-0.272
,1.88E+01,1.05E-01,-0.273
,1.89E+01,1.05E-01,-0.274
,1.89E+01,1.04E-01,-0.275
,1.89E+01,1.04E-01,-0.276
,1.90E+01,1.03E-01,-0.276
,1.90E+01,1.02E-01,-0.277
,1.90E+01,1.02E-01,-0.278
,1.91E+01,1.02E-01,-0.279
,1.91E+01,1.01E-01,-0.279
,1.91E+01,1.01E-01,-0.28
,1.92E+01,1.00E-01,-0.281
,1.92E+01,1.00E-01,-0.281
,1.92E+01,9.99E-02,-0.282
,1.93E+01,9.96E-02,-0.283
,1.93E+01,9.92E-02,-0.283
,1.93E+01,9.90E-02,-0.284
,1.94E+01,9.87E-02,-0.285
,1.94E+01,9.84E-02,-0.286
,1.94E+01,9.80E-02,-0.287
,1.95E+01,9.76E-02,-0.287
,1.95E+01,9.73E-02,-0.288
,1.95E+01,9.67E-02,-0.289
,1.96E+01,9.62E-02,-0.29
,1.96E+01,9.55E-02,-0.291
,1.96E+01,9.50E-02,-0.292
,1.97E+01,9.42E-02,-0.293
,1.97E+01,9.36E-02,-0.294
,1.97E+01,9.30E-02,-0.295
,1.98E+01,9.22E-02,-0.295
,1.98E+01,9.16E-02,-0.296
,1.98E+01,9.11E-02,-0.297
,1.99E+01,9.05E-02,-0.298
,1.99E+01,8.99E-02,-0.298
,1.99E+01,8.91E-02,-0.299
,2.00E+01,8.86E-02,-0.3
,2.00E+01,8.80E-02,-0.301
,2.00E+01,8.74E-02,-0.301
,2.01E+01,8.69E-02,-0.302
,2.01E+01,8.63E-02,-0.303
,2.01E+01,8.57E-02,-0.303
,2.02E+01,8.50E-02,-0.304
,2.02E+01,8.47E-02,-0.304
,2.02E+01,8.41E-02,-0.304
,2.03E+01,8.35E-02,-0.305
,2.03E+01,8.28E-02,-0.305
,2.03E+01,8.21E-02,-0.306
,2.04E+01,8.18E-02,-0.307
,2.04E+01,8.10E-02,-0.307
,2.04E+01,8.02E-02,-0.307
,2.05E+01,7.94E-02,-0.308
,2.05E+01,7.88E-02,-0.309
,2.05E+01,7.81E-02,-0.309
,2.06E+01,7.73E-02,-0.31
,2.06E+01,7.66E-02,-0.311
,2.06E+01,7.59E-02,-0.311
,2.07E+01,7.52E-02,-0.312
,2.07E+01,7.45E-02,-0.312
,2.07E+01,7.40E-02,-0.313
,2.08E+01,7.34E-02,-0.314
,2.08E+01,7.28E-02,-0.314
,2.08E+01,7.22E-02,-0.315
,2.09E+01,7.15E-02,-0.316
,2.09E+01,7.09E-02,-0.316
,2.09E+01,7.08E-02,-0.316
,2.10E+01,7.01E-02,-0.317
,2.10E+01,6.94E-02,-0.317
,2.10E+01,6.92E-02,-0.318
,2.11E+01,6.85E-02,-0.318
,2.11E+01,6.82E-02,-0.318
,2.11E+01,6.75E-02,-0.319
,2.12E+01,6.74E-02,-0.319
,2.12E+01,6.64E-02,-0.319
,2.12E+01,6.61E-02,-0.32
,2.13E+01,6.52E-02,-0.32
,2.13E+01,6.49E-02,-0.32
,2.13E+01,6.39E-02,-0.321
,2.14E+01,6.36E-02,-0.321
,2.14E+01,6.26E-02,-0.321
,2.14E+01,6.17E-02,-0.322
,2.15E+01,6.13E-02,-0.322
,2.15E+01,6.04E-02,-0.323
,2.15E+01,5.93E-02,-0.323
,2.16E+01,5.90E-02,-0.323
,2.16E+01,5.79E-02,-0.324
,2.16E+01,5.74E-02,-0.324
,2.17E+01,5.63E-02,-0.324
,2.17E+01,5.59E-02,-0.325
,2.17E+01,5.54E-02,-0.325
,2.18E+01,5.44E-02,-0.325
,2.18E+01,5.41E-02,-0.325
,2.18E+01,5.37E-02,-0.325
,2.19E+01,5.29E-02,-0.326
,2.19E+01,5.25E-02,-0.326
,2.19E+01,5.23E-02,-0.326
,2.20E+01,5.21E-02,-0.326
,2.20E+01,5.14E-02,-0.326
,2.20E+01,5.12E-02,-0.326
,2.21E+01,5.11E-02,-0.327
,2.21E+01,5.05E-02,-0.327
,2.21E+01,5.04E-02,-0.327
,2.22E+01,4.98E-02,-0.327
,2.22E+01,4.95E-02,-0.328
,2.22E+01,4.88E-02,-0.328
,2.23E+01,4.86E-02,-0.328
,2.23E+01,4.78E-02,-0.329
,2.23E+01,4.74E-02,-0.329
,2.24E+01,4.66E-02,-0.329
,2.24E+01,4.61E-02,-0.329
,2.24E+01,4.58E-02,-0.33
,2.25E+01,4.47E-02,-0.33
,2.25E+01,4.41E-02,-0.33
,2.25E+01,4.35E-02,-0.33
,2.26E+01,4.29E-02,-0.33
,2.26E+01,4.23E-02,-0.33
,2.26E+01,4.17E-02,-0.33
,2.27E+01,4.14E-02,-0.33
,2.27E+01,4.10E-02,-0.33
,2.28E+01,4.06E-02,-0.33
,2.28E+01,4.03E-02,-0.33
