,,
t,x,y
12.776,3.85E-02,-9.75E-02
12.809,3.89E-02,-9.77E-02
12.843,3.95E-02,-9.80E-02
12.876,4.01E-02,-9.82E-02
12.909,4.05E-02,-9.84E-02
12.943,4.12E-02,-9.87E-02
12.976,4.18E-02,-9.89E-02
13.01,4.22E-02,-9.91E-02
13.043,4.28E-02,-9.93E-02
13.076,4.34E-02,-9.96E-02
13.11,4.38E-02,-9.96E-02
13.143,4.44E-02,-9.99E-02
13.176,4.50E-02,-0.1
13.21,4.53E-02,-0.1
13.243,4.59E-02,-0.101
13.276,4.64E-02,-0.101
13.31,4.69E-02,-0.101
13.343,4.76E-02,-0.101
13.376,4.81E-02,-0.102
13.41,4.88E-02,-0.102
13.443,4.95E-02,-0.102
13.477,5.01E-02,-0.103
13.51,5.08E-02,-0.103
13.543,5.15E-02,-0.104
13.577,5.21E-02,-0.104
13.61,5.28E-02,-0.105
13.643,5.36E-02,-0.105
13.677,5.45E-02,-0.106
13.71,5.53E-02,-0.106
13.743,5.61E-02,-0.107
13.777,5.70E-02,-0.108
13.81,5.78E-02,-0.108
13.843,5.86E-02,-0.109
13.877,5.95E-02,-0.11
13.91,6.03E-02,-0.11
13.944,6.07E-02,-0.111
13.977,6.15E-02,-0.111
14.01,6.23E-02,-0.112
14.044,6.32E-02,-0.112
14.077,6.39E-02,-0.113
14.11,6.47E-02,-0.113
14.144,6.52E-02,-0.114
14.177,6.59E-02,-0.115
14.21,6.66E-02,-0.116
14.244,6.74E-02,-0.116
14.277,6.82E-02,-0.117
14.31,6.89E-02,-0.117
14.344,6.96E-02,-0.118
14.377,7.07E-02,-0.119
14.411,7.14E-02,-0.12
14.444,7.20E-02,-0.12
14.477,7.32E-02,-0.122
14.511,7.38E-02,-0.122
14.544,7.50E-02,-0.123
14.577,7.56E-02,-0.124
14.611,7.68E-02,-0.125
14.644,7.73E-02,-0.126
14.677,7.85E-02,-0.127
14.711,7.94E-02,-0.128
14.744,7.99E-02,-0.129
14.777,8.08E-02,-0.13
14.811,8.16E-02,-0.132
14.844,8.25E-02,-0.133
14.878,8.28E-02,-0.134
14.911,8.36E-02,-0.135
14.944,8.44E-02,-0.136
14.978,8.51E-02,-0.137
15.011,8.53E-02,-0.138
15.044,8.61E-02,-0.139
15.078,8.68E-02,-0.14
15.111,8.75E-02,-0.141
15.144,8.82E-02,-0.143
15.178,8.84E-02,-0.144
15.211,8.92E-02,-0.145
15.244,8.99E-02,-0.146
15.278,9.06E-02,-0.147
15.311,9.12E-02,-0.148
15.345,9.18E-02,-0.15
15.378,9.24E-02,-0.151
15.411,9.30E-02,-0.152
15.445,9.35E-02,-0.154
15.478,9.44E-02,-0.155
15.511,9.48E-02,-0.157
15.545,9.56E-02,-0.158
15.578,9.60E-02,-0.16
15.611,9.67E-02,-0.161
15.645,9.70E-02,-0.163
15.678,9.75E-02,-0.164
15.711,9.78E-02,-0.166
15.745,9.81E-02,-0.167
15.778,9.83E-02,-0.165
15.812,9.88E-02,-0.167
15.845,9.90E-02,-0.167
15.878,9.94E-02,-0.169
15.912,9.97E-02,-0.17
15.945,0.1,-0.172
15.978,0.1,-0.173
16.012,0.1,-0.174
16.045,0.101,-0.176
16.078,0.101,-0.178
16.112,0.101,-0.179
16.145,0.101,-0.18
16.178,0.101,-0.182
16.212,0.101,-0.183
16.245,0.101,-0.185
16.279,0.101,-0.187
16.312,0.101,-0.188
16.345,0.101,-0.19
16.379,0.101,-0.191
16.412,0.101,-0.193
16.445,0.101,-0.194
16.479,0.101,-0.196
16.512,0.101,-0.197
16.545,0.101,-0.199
16.579,0.1,-0.201
16.612,0.1,-0.202
16.645,0.1,-0.204
16.679,1.00E-01,-0.205
16.712,9.97E-02,-0.207
16.746,9.95E-02,-0.208
16.779,9.92E-02,-0.21
16.812,9.89E-02,-0.211
16.846,9.85E-02,-0.213
16.879,9.82E-02,-0.214
16.912,9.78E-02,-0.216
16.946,9.73E-02,-0.218
16.979,9.69E-02,-0.219
17.012,9.65E-02,-0.22
17.046,9.59E-02,-0.222
17.079,9.53E-02,-0.223
17.112,9.48E-02,-0.225
17.146,9.41E-02,-0.226
17.179,9.36E-02,-0.228
17.213,9.29E-02,-0.229
17.246,9.21E-02,-0.23
17.279,9.15E-02,-0.232
17.313,9.08E-02,-0.233
17.346,9.00E-02,-0.235
17.379,8.94E-02,-0.236
17.413,8.88E-02,-0.238
17.446,8.79E-02,-0.239
17.479,8.71E-02,-0.241
17.513,8.63E-02,-0.242
17.546,8.55E-02,-0.243
17.58,8.46E-02,-0.245
17.613,8.35E-02,-0.246
17.646,8.28E-02,-0.247
17.68,8.16E-02,-0.248
17.713,8.10E-02,-0.249
17.746,7.99E-02,-0.251
17.78,7.89E-02,-0.252
17.813,7.79E-02,-0.253
17.846,7.72E-02,-0.254
17.88,7.61E-02,-0.255
17.913,7.50E-02,-0.256
17.946,7.40E-02,-0.257
17.98,7.29E-02,-0.259
18.013,7.22E-02,-0.259
18.047,7.10E-02,-0.261
18.08,6.99E-02,-0.262
18.113,6.90E-02,-0.262
18.147,6.78E-02,-0.264
18.18,6.65E-02,-0.265
18.213,6.52E-02,-0.266
18.247,6.43E-02,-0.267
18.28,6.28E-02,-0.268
18.313,6.18E-02,-0.269
18.347,6.02E-02,-0.27
18.38,5.92E-02,-0.271
18.413,5.74E-02,-0.272
18.447,5.62E-02,-0.272
18.48,5.50E-02,-0.273
18.514,5.37E-02,-0.274
18.547,5.17E-02,-0.275
18.58,5.04E-02,-0.275
18.614,4.91E-02,-0.276
18.647,4.79E-02,-0.277
18.68,4.65E-02,-0.277
18.714,4.52E-02,-0.278
18.747,4.38E-02,-0.279
18.78,4.25E-02,-0.279
18.814,4.11E-02,-0.28
18.847,3.97E-02,-0.28
18.88,3.91E-02,-0.281
18.914,3.78E-02,-0.281
18.947,3.64E-02,-0.282
18.981,3.30E-02,-0.283
19.014,3.13E-02,-0.284
19.047,3.07E-02,-0.284
19.081,2.90E-02,-0.284
19.114,2.73E-02,-0.285
19.147,2.66E-02,-0.285
19.181,2.48E-02,-0.286
19.214,2.41E-02,-0.286
19.247,2.21E-02,-0.286
19.281,2.14E-02,-0.286
19.314,1.93E-02,-0.287
19.347,1.84E-02,-0.287
19.381,1.75E-02,-0.287
19.414,1.55E-02,-0.287
19.448,1.45E-02,-0.288
19.481,1.35E-02,-0.288
19.514,1.16E-02,-0.288
19.548,1.07E-02,-0.288
19.581,9.60E-03,-0.288
19.614,8.51E-03,-0.288
19.648,7.46E-03,-0.288
19.681,6.36E-03,-0.288
19.714,5.20E-03,-0.288
19.748,4.10E-03,-0.288
19.781,3.04E-03,-0.288
19.814,2.02E-03,-0.288
19.848,9.51E-04,-0.288
19.881,-3.41E-05,-0.288
19.915,-1.07E-03,-0.288
19.948,-2.12E-03,-0.288
19.981,-3.14E-03,-0.288
20.015,-4.13E-03,-0.288
